Keyword	Frequency	Score
Versteigerung	1	3
Endreieck	1	9
Geldkassette	1	-9
Zwischenetage	1	2
Holzlatte	1	3
Lichtbaum	1	9
Lichtspirale	1	-1
Motorraum	1	8
Dielen	1	1
Kratzer	1	2
Etagenpension	1	-8
Legende	1	10
Verwirrung	1	-1
Operngala	1	-8
AIDS	1	-4
Vollsperrung	1	-4
Leitplanke	1	2
Fotostudio	1	-9
Gerichtsurteil	1	10
Indizium	1	-5
Zeugenaussage	1	-5
Durchbruch	1	-4
Mordverdacht	1	0
Holzbude	1	-7
Bude	1	8
Oeynhausenâ	1	1
Aufstand	1	-4
Schlaf	1	3
Eifersã	1	0
Fliegerbombe	1	-7
Hubertusallee	1	-1
Evakuierungsaktion	1	-4
Evakuierung	1	-9
Sammelkiste	1	-9
Pfandsammler	1	7
Pfandflasche	1	-4
Heerstraã	1	-4
Nahme-Musikschule	1	9
Haushaltsentwurf	1	8
Rostandort	1	-6
Hohenzollerndamm	1	-5
Glockenspiel	1	6
Turmsanierung	1	7
Kirchturm	1	0
Bergabefest	1	-8
Festgottesdienst	1	2
Fugenpatenschaft	1	6
Baubesprechung	1	-7
Schmuckhof	1	-10
Missglã	1	-8
Schleusung	1	-3
Pfandleihhaus	1	7
Turmhelm	1	5
Glockenstube	1	-1
Teilbebauung	1	-8
Faktum	1	6
Einkaufsgebiet	1	5
Finanzabgabe	1	0
Missbrauch	1	5
Schoelerschlã	1	-4
Sschen	1	4
Trauort	1	3
Trauung	1	-3
Scheidung	1	-1
Wartungsarbeit	1	-7
Funkausstellung	1	-8
Stahlbauer	1	7
Impfschutz	1	5
Masern	1	3
Gesundheitsstadtrat	1	-4
Umzugskarussell	1	6
Wetterfolge	1	-10
Gallã	1	-2
Desheimer	1	-3
Deichanlagen	1	-5
Elterngeld	1	1
Fahrbahnsanierung	1	3
Adenauerplatz	1	-9
Rathenauplatz	1	5
Kreuzungsbereich	1	4
Eingerã	1	10
Zensus	1	4
Stichprobe	1	5
Melderegister	1	-7
Streetball	1	10
Getreten-Zeuge	1	2
Neugierige	1	6
Plane	1	-4
Bildungseinrichtung	1	0
Brief	1	0
Blã	1	-5
Nftig	1	-9
Bepflanzung	1	9
Pestalozzistraã	1	-6
Nadel	1	-3
Rzlichen	1	5
Zoofenster	1	9
Pyronale	1	-4
Maifeld	1	0
Inselbild	1	-7
Strandtreiben	1	6
Küstenlandschaft	1	2
Ampelmã	1	-3
Nnchen	1	7
Messehalle	1	-1
Eventarena	1	7
Deutschlandhalle	1	7
Wegfall	1	2
Fairplay	1	3
Spion	1	-4
Hochtechnologiewirtschaft	1	0
Stammzellenforschung	1	-4
Futterkã	1	0
Nachbarraum	1	10
Etappe	1	5
Flaggschiff	1	-1
Scheiterhaufen	1	2
Hrer	1	-10
Komplizein	1	-3
Modehaus	1	7
Warnplakat	1	4
Kontaktdaten	1	4
Raucher	1	-2
Werbespruch	1	7
Nichtraucherschutzgesetz	1	8
Skulpturengruppe	1	10
Nordkurve	1	9
Traditionslokal	1	-6
Touristensaison	1	2
Sachearbeiterin	1	6
Erschwindeln	1	-8
Sozialamt	1	2
Bestechlichkeit	1	-8
Untreue	1	-5
Krokodil	1	3
Poloshirt	1	-4
Bewegungsfreiheit	1	2
Kiezstreife	1	1
Bollemohr	1	7
Cken	1	4
Kriegswaffe	1	-10
Gewehr	1	-2
Waffenhandel	1	-9
Verlag	1	5
Arbeitsplatzverlust	1	7
Ngste	1	10
Erziehungsheim	1	-2
Drogenmissbrauch	1	0
Drogenkonsum	1	8
Befund	1	5
Tsel	1	-10
Phã	1	-8
Nomene	1	-3
Blutreliquie	1	-9
Stadtpatron	1	3
Ampulle	1	-8
Ubeer	1	2
Farbattacke	1	-3
Alkholvergiftung	1	-3
Bewusstlosigkeit	1	-1
Rockerkontrolle	1	5
Verkehrszeichen	1	8
Regelungswut	1	7
Verkehrsregelungsidee	1	8
sammlung	1	-2
Tagungsort	1	-6
Kongreßort	1	5
Beliebtheitsrangliste	1	-2
Erhebung	1	-9
Geschwindigkeitskontrolle	1	4
Frischling	1	-1
Biber	1	9
Butterflymesser	1	6
Waffenrecht	1	-3
Schußwaffenattrappe	1	-7
Sicherheitstechnik	1	3
Delikt	1	6
Wirtschaftshof	1	6
Sicherheitsempfinden	1	8
Schlusslicht	1	-8
Baudenkmã	1	-9
Touristenmagnet	1	-5
Hrliche	1	-7
Messerverbot	1	1
Schlabberlook	1	7
Entscheidungsfreiheit	1	0
Garderobe	1	9
Hochglanzmagazin	1	-7
Wachstumsmarkt	1	-6
Laufsteg	1	8
Modewoche	1	-3
Modejahr	1	-6
Kollektion	1	-6
Studentenlabel	1	-1
Subkultur	1	8
Towierunge	1	6
Betreibergesellschaft	1	5
Langstreckenverbindung	1	5
Bollywood	1	9
Hackerangriff	1	-5
Unterschriftensammlung	1	7
Gastgewerbe	1	-3
Aussichtsrad	1	8
Ausgabefreudigkeit	1	6
Wirtschaftszweig	1	8
Appell	1	8
Endspiel	1	4
Turmruine	1	9
Landesgeld	1	0
Verfall	1	-3
Senatsangabe	1	-4
Mehreinnahme	1	-7
Ablehnung	1	-7
Einsatzmesser	1	9
Bundesratsinitiative	1	9
Bundesministerium	1	-2
Ausweitung	1	1
Innenstadtbereich	1	6
Kahlschlag	1	10
Hinweiszeichen	1	0
Tragfã	1	10
Higkeit	1	4
Parkuhr	1	-2
Monatsbeginn	1	-10
Parkautomat	1	-3
Glã	1	-7
Ubige	1	-1
Knolle	1	-3
HIV	1	2
Hepatitis C	1	3
Geldabheben	1	3
Geheimnummer	1	6
Seltenheit	1	-6
Videothek	1	-5
Regierungsviertel	1	5
Sanierungsfall	1	-2
Wirtschaftsverwaltung	1	2
Ndert	1	-1
Humboldthafen	1	8
Chinareise	1	-3
Parkzeit	1	0
Kleingeld	1	6
Spendenquittung	1	-3
Bestechung	1	7
Ehrentafel	1	10
Goldfuge	1	-9
Spender	1	8
Mierendorffplatz	1	-6
Gewerbegebiet	1	-1
Moscheebau	1	-5
Wohnungsleerstand	1	4
Sozialwohnung	1	7
Sexualstraftat	1	-3
Farbanschlag	1	2
Linksradikale	1	-10
Privatisierung	1	2
Flugabwehrkanone	1	8
Handfeuerwaffe	1	-9
Waffensammler	1	4
Eigentumsrechte	1	4
Treuhandanstalt	1	3
Verlagsrechte	1	10
Gesamtwert	1	-3
Dekorationswaffe	1	-7
Lagerbildung	1	5
Denkzettel	1	-8
Aktionsbã	1	8
Kellerdecke	1	5
Zentralheizung	1	5
Damianaki	1	7
Statikproblem	1	5
Notsicherung	1	8
Einsturzgefahr	1	7
Bauã	1	-4
Chtlingsheim-Neu	1	8
Glutnest	1	-10
Unterrichtspavillon	1	-7
Sanierungsstau	1	-2
Sachschaden	1	-7
Erstaufnahmestelle	1	10
Busen	1	-7
Steglitz-Fassade	1	6
Reparatur	1	-1
Badende	1	9
Einspruch	1	10
Vierbeiner	1	0
Tuberkulose	1	4
Einwohnerfragestunde	1	4
Uferverbot	1	5
Legionellen	1	-3
Modernisierungsstau	1	-3
Podiumsdiskussion	1	9
Bully	1	-3
Petition	1	5
Leinenpflicht	1	4
Hundeauslaufverbot	1	9
Bleiben-Hundeverbot	1	-4
Uferbereich	1	-2
Badesaison	1	6
Planungsfehler	1	-2
Sportanlagensanierungsprogramm	1	-5
Clubtheater	1	3
Vorhang	1	2
Wartezeit	1	5
Konsequenz	1	-1
Bettag	1	-9
Lerngruppe	1	0
Rollenspiel	1	2
Agententhriller	1	3
Hauptrolle	1	-5
Schrottinstallation	1	3
Lichtkegel	1	5
Lichtkegeln	1	4
Inverstorso	1	-9
Miniermotte	1	2
Zusammenkehren	1	1
Ngsten	1	8
Vermehrung	1	6
Rohaus	1	4
Baustart	1	5
Duftrose	1	2
Beete	1	4
Rosenauswahl	1	-3
Ordenshaus	1	-3
Freimaurer-Einblick	1	7
Bruderschaft	1	-4
Altliga	1	10
Gelei	1	-10
Gewalttã	1	10
Sanddã	1	9
Ngertunnel	1	2
Mauerbauâ	1	-1
Clayallee	1	4
Kinderchirurgie	1	6
Zwã	1	-1
Lfjã	1	7
Raser	1	-2
Mauerbau	1	-3
Schutzwand	1	3
Klinikareal	1	6
Stadtvilla	1	-4
Kiezinitiative	1	-3
Spazierfahrt	1	-9
Fahrbahnmarkierung	1	1
Unfallort	1	-3
Massenkarambolage	1	-4
Blitzeinbrecher	1	9
Zeugdruckerei	1	3
Kreativstandort	1	-9
Schulaula	1	-10
Schuldachboden	1	1
Infoabend	1	9
Regionalverkehr	1	8
Bahnverkehr	1	2
Fahrplan	1	-2
Fahrgastverband	1	-10
Gecko	1	8
Berwacht	1	-7
Pflanzenart	1	8
Stadtplanungsausschuß	1	7
Villaviertel	1	7
Stadtbild	1	2
Erhaltungssatzung	1	-2
Luxusturm	1	-7
Asbestsanierung	1	1
Bankraub	1	-5
Bankräuber	1	1
Blaudruckerei	1	-4
Werkstatt	1	-3
Bezirksaufgabe	1	4
Asbestfund	1	-6
Segel	1	1
Segelcamp	1	5
Optimist	1	10
Cannabisanbau	1	-1
Cannabisplantage	1	-1
Kanupolo	1	-2
Raufe	1	0
Havelbrã	1	7
Wasserball	1	-2
Rauferei	1	2
Handball	1	9
Museumsshop	1	-2
Hainbuche	1	4
Bankeinbruch	1	-6
Aktenzeichen	1	-2
Ungelã	1	-4
Millionenschaden	1	8
Umt	1	-6
Naturerlebnis	1	6
Fischerhüttenstraße	1	3
Toilette	1	3
Radfahrsaison	1	6
Asbest	1	7
Landschaftspark	1	-4
Verkehrssicherheitspflicht	1	0
Kunsteisbahn	1	-5
Schulklasse	1	6
Anwohnerumfrage	1	4
Abstimmungsunterlage	1	-4
Angezã	1	-9
Tatverdã	1	-7
Feuertod	1	-4
Treitschkestraã	1	-3
Bundestagskandidatur	1	-1
Delegiertenwahl	1	-7
Kreisverband	1	0
Glaserker	1	9
Landgasthaus	1	0
Freilandmuseum	1	-4
Ehrung	1	-5
Broschã	1	6
Radsaison	1	-9
Fahrradsaison	1	-7
Naturschutzamt	1	10
Neuauflage	1	-4
Schlauchautomat	1	-7
Lufttankstelle	1	9
Modernisierungskonzept	1	-1
Biobauernhof	1	5
Wofã	1	3
Gewã	1	-4
Wahlprogramm	1	-1
Kreischer	1	-7
Schulumzug	1	0
Winterpause	1	9
Ttenweg	1	7
Mehrzweckraum	1	-9
Einkaufsgalerie	1	4
Kostenbeteiligung	1	9
Bauausschuss	1	4
Originalfassade	1	-8
Hrungen	1	-3
Tropenhaus	1	-4
Stahlskelett	1	9
Tarifbruch	1	-4
Arbeitsbelastung	1	-3
Anwendungstarifvertrag	1	-1
Freizeitausgleich	1	4
Sportmedizin	1	-8
Kampfschiff	1	8
Nachbau	1	9
Leistungsunterschied	1	-8
Liebeswahn	1	2
Albtraum	1	4
Nachstellung	1	6
Schrei	1	2
Bummel	1	-6
Verkehrsgutachten	1	10
Fahrradspur	1	-9
Schloã	1	3
Einzelhandelsstandort	1	-7
Verkaufsverhandlung	1	0
Skandalbau	1	8
Kilokalorie	1	-3
Rper	1	-4
Nordic Walking	1	-8
Riesenbambus	1	-6
Mustergarten	1	7
Boulevard	1	7
Berufsbild	1	-8
Gartendesigndiplom	1	-7
Finanzstopp	1	4
Telefonshop	1	10
Standortinitiative	1	4
Daueraustellung	1	0
Dessau-Werkstatt	1	3
Provokation	1	1
Zwilling	1	-4
Kurzschlußreaktion	1	-2
Konomischen	1	3
Krankenversorgung	1	-7
Patientenversorgung	1	0
Digitalisierung	1	3
Zahnklinik	1	-9
Zahnbehandlung	1	-6
Rechnungshof	1	2
Hochschuleambulanz	1	6
Forschungsneubau	1	7
Investition	1	9
Einsparung	1	-7
Schrumpfungsprozess	1	6
Traditionsbã	1	-9
Endrunde	1	10
Musicalproduzent	1	7
Stag	1	8
Schlossparktheater	1	9
Obduktionsergebnis	1	-9
Babyklappe	1	-2
Waldfriede	1	-6
Ausstand	1	1
Berstanden	1	9
Tarifkonflikt	1	-2
Ballspieler	1	-7
Freizeitkicker	1	6
Fitter	1	-2
Muskelmasse	1	-5
Neuigkeit	1	-8
Quã	1	0
Fehlgeleitete	1	-7
Verlobung	1	-6
Telefonanruf	1	6
Kreiã	1	1
Tafelsilber	1	9
Freizeitsport	1	-2
Schwimmer	1	-10
Englã	1	4
Gartenkunst	1	-6
Telefonterror	1	5
Projektentwicklung	1	0
Pflastern	1	-6
Einzelhã	1	2
Flaniermeile	1	7
Bierpinsel	1	4
Riesenwels	1	1
Wels	1	3
Bernahme	1	-5
Eigenbetrieb	1	-2
Geisberg-Ecke	1	5
Telegrafenamt	1	-5
Wohnungn	1	1
Mietergruppe	1	7
Wohnungsprostitution	1	4
Hauptstraße	1	5
Sonderthema	1	7
Maaßenstraße	1	-4
Klappliege	1	9
Zaunfeld	1	8
Matratze	1	-5
Digitaljournalismus	1	6
Studiengang	1	3
Sigmund	1	-5
Massenschlägerei	1	-4
Diebstahl	1	10
Fitnessstudio	1	-6
Schutzgitter	1	-8
Teilabschnitt	1	-6
Ladenpassage	1	6
Dachterrasse	1	-3
Ebene	1	-6
Lesecafé	1	2
Ramsch	1	-3
Flohmarkt	1	-1
Sammlerstück	1	-9
Rarität	1	6
Dominicusstraã	1	2
Nierke	1	-6
Streitmacht	1	9
Polizeifahrzeug	1	-9
Martinshorn	1	3
Dpa-Bildfunk+++	1	0
Orkan Xaver	1	-6
Fachkommissariat	1	0
Kunstdelikt	1	8
Nachgemacht	1	9
Fälschung	1	4
Personenkontrolle	1	3
Kurfürstenstraße	1	-8
Zugangsgebäude	1	-3
Spurensicherung	1	0
Netzleitstand	1	-10
Entwicklungsredaktion	1	0
Querung	1	5
Eingangsgebäude	1	9
Sonnenschutz	1	-1
Stierstraße	1	-7
Bauernhof	1	-4
Flugdrachen	1	-7
Dachstuhl	1	2
Wohnhausbrand	1	8
Berlin-Trabrennbahn	1	8
Ullsteinhaus	1	-7
Regenbogenfahne	1	-8
Nollendorfplatz	1	9
Freiheitsglocke	1	8
Großbordell	1	3
Exportschlager	1	0
Urne	1	0
Zellentrakt	1	-7
Teilanstalten	1	1
Solartechnik	1	6
Wissenschaftsstandort	1	6
Strafrecht	1	-4
Straßenstrich	1	3
Schalterhalle	1	6
Postamt	1	6
Chstbietenden	1	9
Wohnlage	1	5
Laufhaus	1	5
Schadenersatzforderung	1	-8
Bauweise	1	9
Fernbahnstrecke	1	7
Koalitionsstreit	1	-5
Hauptsitz	1	-1
Onlineshop	1	6
Tannenbaum	1	-5
Enverkehr	1	10
Ngern	1	-3
Rollerasen	1	1
Rhododendronstrauch	1	-4
Winterbeleuchtung	1	-7
Unternehmerinitiative	1	-6
Weihnachtsschmuck	1	7
Zitterpartie	1	-2
Wohnimmobilie	1	-2
Direktausbildung	1	0
Psychotherapie	1	3
Wintersemester	1	4
Marienfeldeer	1	7
Raubmã	1	-5
Rder	1	4
Lichen	1	6
Barbarossaplatz	1	-6
Szenegebiet	1	1
Gebiet	1	1
Niedergestochen-Haftbefehl	1	7
Totschlag	1	-4
Streitigkeit	1	-9
Verkehrssicherheit	1	-10
Stadtentwicklungsamt	1	9
Warmlufthalle	1	0
Tunnellã	1	0
Falle	1	1
Lerchenweg	1	-9
Rworter	1	-4
Kunstfã	1	10
Suizid	1	2
Verkehrsberuhigung	1	2
Neberger	1	7
Maaã	1	-8
Frontscheibe	1	6
Streckenfã	1	-2
Vorzeigeprojekt	1	9
Verankerung	1	7
Verwaltungsspitze	1	7
Glasbau	1	-2
Senatsverkehrsverwaltung	1	6
Volksbegehren	1	-2
Unterschriftensammler	1	4
Rchten	1	3
Kopfschuss	1	10
Suizidversuch	1	-10
Mordkommission	1	-6
Schusswunde	1	-8
Schulaufsicht	1	9
Sonntagfrã	1	-9
Stromversorgung	1	-5
Kurzschluss	1	8
Groschengrab	1	8
Anwohnerschutzzone	1	9
Autorennen	1	2
Rosinenbomber	1	2
Drachen	1	4
Friedenaus	1	7
Kleingartenflã	1	-10
Geheimtipp	1	-2
Riesendrachen	1	9
Gasbeleuchtung	1	-10
Klarheit	1	-9
Verordnete	1	4
Treberhilfe	1	-4
Waldorfschule	1	-5
Insolvenzmasse	1	6
Kanditat	1	-3
Bundestagswahlkampf	1	4
Planungsrecht	1	6
Taunusviertel	1	5
Energieforum	1	5
Reklametafel	1	10
Skelett	1	-5
Klã	1	0
Ngelei	1	-7
Remtec	1	-4
Vertrag	1	-6
Nachmitag	1	3
Mindeststandard	1	1
Wohnungsbordell	1	2
Entscheidungskompetenz	1	6
Verwaltungshandeln	1	-2
Sperrbezirk	1	1
Bestattung	1	2
Baumbestattung	1	7
Discountbestattung	1	3
Sozialbestattung	1	-7
Bestattungsunternehmen	1	-2
Beerdigung	1	7
Leinentuch	1	-2
Sterbetag	1	-6
Leichenwaschung	1	8
Novellierung	1	3
Zeremonie	1	7
Rahmenbedingung	1	9
Dtebau	1	-10
Denkmalgeschã	1	-7
Denkmalplus	1	-9
Blockade	1	-8
Skymaster	1	6
Transportflugzeug	1	-7
Direktverbindung	1	4
Nachtflugverbot	1	6
Martin-Luther-Gedã	1	8
Torbogen	1	7
Nazisymbolik	1	-1
Ausschreibungsverfahren	1	-8
Landeskirche	1	-6
Gotteshaus	1	8
Kirchenbau	1	9
Ftlinge	1	-7
Einheitskluft	1	3
Markenkleidung	1	-9
Anstaltskleidung	1	-9
Handyschmuggel	1	2
Haftanstalt	1	0
Erkennungszeichen	1	-4
Pannenserie	1	-9
Vollzugsanstalt	1	-7
Justizvollzug	1	-3
Haftanstalten	1	9
Drogenfund	1	5
Mobiltelefon	1	6
Ngnisse	1	1
Personalsituation	1	-7
Pullover	1	6
Sicherheitsproblem	1	3
Erfolgsgeschichte	1	1
Nnten	1	1
Hauptstadtflughafen	1	-7
Fehlspekulation	1	6
Inbegriff	1	-7
BBI - Terminal	1	-1
Ckhalt	1	-4
Plã	1	6
Wohnform	1	4
Religionsunterricht	1	0
Reli	1	-5
Wahlpflichtfach	1	6
Nefeld	1	-3
Hten	1	-6
Polzei	1	5
Leuchte	1	-7
Stahlgerã	1	-4
Filmstudio	1	0
Platznot	1	5
Filmstandort	1	3
Quartiersrat	1	0
Beinprothese	1	9
Glasauge	1	-4
Fundsache	1	7
Geige	1	3
Fundstã	1	-1
Polizeizelle	1	-8
Blutentnahme	1	-4
Ngte	1	-1
Straßenschaden	1	-8
Mansteinstraße	1	-2
Fußgängerübergang	1	-8
Südgelände	1	3
Fußgängerbrücke	1	-8
Mieterrat	1	-8
Schwebebalken	1	-1
Gleichgewicht	1	-5
Badebetrieb	1	-3
Einschränkung	1	-4
Enbecken	1	-3
Außenbecken	1	-1
Hauptgebetssaal	1	9
Freitreppe	1	-8
Proviantmagazin	1	-3
Siegesallee	1	3
Kleebanks	1	3
Gefälle	1	-2
Freybrücke	1	5
Pulverfabrik	1	-2
Havelwerk	1	2
Sandra	1	-10
Schnitzel	1	8
Holzrecyclinganlage	1	10
Zusammenstoß	1	6
Meßilovum	1	-4
Kulturangebot	1	9
Screenshot	1	2
Kunstrasen	1	4
Fuﬂball	1	-1
Dachflã	1	-5
Rettungskrã	1	4
Impression	1	4
Landessportbund	1	-7
Hakenfeld	1	3
Elkartweg	1	3
Wochenendhaus	1	7
Nstigen	1	-9
Wirtschaftslage	1	8
Metallindustrie	1	-5
Tarifrunde	1	-9
Ventionsmedizin	1	-8
Winterwetter	1	-9
Waldkrankenhaus	1	-7
Rderung	1	2
Gesundheitsfã	1	2
Berufsvorbereitung	1	-9
Probebetrieb	1	1
Janaur	1	-7
Privathaus	1	-8
Schifffahrtskanal	1	-5
Saatwinkeler	1	-2
Tischtennis-Streit	1	-9
Tischtennisgruppe	1	-5
Bete	1	8
Freitagsgebet	1	1
Tischtennis	1	-8
Stadtgeschichte	1	5
Kindergartengruppe	1	2
Koeltzepark	1	5
Revier	1	-6
Jugenddelikt	1	-4
Spandaus	1	1
Havelbezirk	1	8
Meilenwerk	1	8
Spinne	1	-1
Doppelsporthalle	1	3
Freybrã	1	-9
M49	1	0
Berraschend	1	-7
Llig	1	-9
Museumsobjekt	1	0
Touristenattraktion	1	5
Kreativcampus	1	-1
Kunstcampus	1	9
Weihnachtsbã	1	-5
Honig	1	3
Dominostein	1	10
Zimt	1	0
Stollen	1	1
Lebkuchen	1	-1
Zutat	1	-4
Blech	1	-1
Engpass	1	9
Bodenplatte	1	-4
Kulturstadtrat	1	0
Chtigt	1	0
Holzspã	1	0
Recyclinganlage	1	-6
Recyclingbetrieb	1	0
Gewerbeimmobilie	1	-2
Positionspapier	1	0
Daumstraã	1	8
Wassertankstelle	1	-6
Kreuzfahrtschiff	1	-9
Yachthafen	1	-1
Schichtleiter	1	-7
Sportboot	1	7
Wassermasse	1	10
Schleusenkammer	1	6
Badewanne	1	-4
Wasserlage	1	5
Seniorenwohnanlage	1	9
Maselakepark	1	-4
Einzelzimmer	1	-5
Ladestation	1	-9
Drehstromnetzwerk	1	-6
Staugefahr	1	-5
Kunstrasenbelag	1	6
Sportstadtrat	1	-10
Rieselfeld	1	2
Bodenuntersuchung	1	7
Betreuungseinrichtung	1	7
Seekrug	1	-2
Ausflugslokal	1	0
Verschmutzung	1	-8
Jugendtheater	1	-1
Chemiebrand	1	10
Chemikalie	1	-1
Explosion	1	-6
Hundeattacke	1	4
Kameradrohne	1	5
Nervenzusammenbruch	1	-4
Neukã	1	0
Nderungen	1	0
Lln	1	9
Kreativnetz	1	-8
Oberstufenzentrumâ	1	1
Bildungscampus	1	-1
Llns	1	-1
Bildungsstadtrat	1	-8
Kreisparteitag	1	-3
Giffey	1	2
Senatsinnenverwaltung	1	-4
Nftige	1	7
Vereinsverbot	1	-6
Sex-Wachschutz	1	-9
Cherei	1	-4
Hilferuf	1	-6
Lieblingsecke	1	2
Islam	1	2
Frauenviertel	1	5
Predigt	1	8
Unterordnung	1	-2
Islamismus	1	-7
Vereinnahmung	1	-3
Betreuungsgeld	1	6
Mietenbã	1	-8
Bergibt	1	-10
Aufreissen	1	-2
Showprogramm	1	3
Weihnachtsfeier	1	-6
Seuchenalarm	1	4
Spezialstation	1	-2
Ebola-Epidemie	1	-5
Gerei	1	1
Intensivtã	1	0
Dauerkampf	1	-7
Sonnenallee	1	-8
Hotelturm	1	-8
Moscheeleitung	1	-1
Scharia	1	6
Leibwã	1	-9
Clip	1	5
Quereinsteiger	1	-1
Schulbeginn	1	-8
Bewerbertag	1	4
Karrierechance	1	-5
Apartment	1	-9
Kiezschule	1	-3
Problemschule	1	-3
Neuanfang	1	8
Aufbruchstimmung	1	6
Umleitung	1	-8
Verkehrsader	1	1
Columbiabad	1	-3
Kernkraftwerk	1	3
Chstes	1	10
Durchhaltewillen	1	0
Tower	1	10
Reaktivieren	1	3
Mietwagen	1	-1
Friedhofserweiterung	1	1
Lerforschungszentrum	1	4
Kippa	1	-2
Schwuzâ	1	-8
Homophobie	1	-1
Traditionsklub	1	2
Feuerwehrmã	1	-2
Autowerkstatt	1	7
Kunstsammlerpaar	1	-2
Brauerei	1	-9
Gegenwartskunst	1	-3
Abwanderung	1	-2
Menschengruppe	1	-6
Polizeirevier	1	8
Tergruppen	1	-7
Bundeswettbewerb	1	-5
Erziehungsfrage	1	-3
Gartenlaube	1	7
Hinterkopf	1	-6
Zunã	1	2
Doppelmord	1	-9
Prozessauftakt	1	3
Amtsanwaltschaft	1	-2
Pelle	1	8
Bonbonmasse	1	0
Berghain	1	0
Lackschicht	1	-1
Gerichtssaal	1	2
Kohlâ	1	8
Willkommensklasse	1	-9
Breakdance	1	-9
Wohnungsbaugesellschaft	1	-4
Bedrohung	1	-6
Rken	1	6
Nnen-Japaner	1	-2
Bezirksstadtrã	1	3
Unterausschuss	1	-8
Berufswahl	1	5
Kooperationsvereinbarung	1	-10
Auslandserfahrung	1	-6
Abwahlantrag	1	7
Abwahl	1	4
Trasse	1	8
Plakette	1	-3
Windschutzscheibe	1	-4
Februarwoche	1	-2
Buã	1	9
Gnade	1	-5
Fehde	1	-3
Bildungniveau	1	3
Polizeistatistik	1	-4
Neuerã	1	9
Brandbombe	1	8
Brandkatastrophe	1	-9
Anfã	1	4
Ndigt	1	-8
Landesparteitag	1	4
Hindu	1	-5
Hindutempel	1	-4
Tempel	1	4
Luganus	1	3
Familiengericht	1	4
Problembezirk	1	6
Brennpunktgebiet	1	10
Kitapflicht	1	-10
Terrorissierten	1	-7
Sicherungsverwahrung	1	-6
Schulungszentrum	1	9
Wunschstandort	1	-1
Bundesvorsitzende	1	8
Geldsorge	1	-5
Revierkã	1	-7
Mpfe	1	3
Richtungsstreit	1	8
Machtkampf	1	7
Parteienfinanzierung	1	1
Liebigschule	1	-5
Endlich ein Schulkind	1	9
Komplexkontrolle	1	-6
Bundesautobahn	1	-2
Gewinnerentwurf	1	3
Einstieg	1	0
Kristall	1	-5
Anleitung	1	0
Supermarktplatz	1	-1
Amokfahrt	1	-4
Vatergruppe	1	9
Flughafenstraße	1	-8
Bäckerei	1	1
Wohnbezirk	1	1
Lebensgefühl	1	-2
Umweltplakette	1	8
Haxe	1	9
Kulinarisch	1	-10
Ratskeller	1	-7
Krimi	1	-8
Silberbuffet	1	1
Barockschloss	1	-2
Beutekunst	1	8
Ledertapete	1	7
Stuckdecke	1	4
Wappensaal	1	4
Grundstã	1	6
Granitsteinplatte	1	-10
Kessel	1	-8
Szenebezirk	1	-9
Ggelturm	1	9
Rechtsschutz	1	3
Unfalltod	1	2
Unfallwagen	1	6
Tauchergruppe	1	3
Getreten-Ermittlung	1	-2
Abschiebegewahrsam	1	4
Abschiebehaft	1	-2
Gewaltvorfall	1	0
Beschwerde	1	2
Fotoaufnahme	1	5
Virus	1	-7
Bezirkspolitik	1	-3
Badeunfall	1	3
Rettungsschwimmer	1	4
Rohrbruch	1	8
Ruderfã	1	-6
Sportanlagensanierung	1	-4
Rockerkneipe	1	0
Rockervereinigung	1	5
Enbahn	1	4
Herzinfarkt	1	-1
Gastherme	1	-2
Vergiftet-Anklage	1	5
Kohlenmonoxidvergiftung	1	1
Abgasrohr	1	8
Ggelspree	1	5
Vorfreude	1	9
Rungswut	1	-7
Freizeitzentrum	1	-2
Tonstudio	1	-3
Eventplanungsagentur	1	5
Wohnboot	1	6
Badeschiff	1	-2
Swimmingpool	1	-4
Nachtleben	1	10
Krabbenessen	1	8
Kanã	1	-1
Motorjacht	1	7
Paddelboot	1	8
Hochwasser	1	6
Beteiligungsphase	1	-7
Beteiligungsportal	1	-2
Poetry Slam	1	-5
Spuk	1	5
Kultserie	1	0
Montagsdemo	1	9
Montagsdemonstration	1	4
Juwelier	1	-1
Hauptstandort	1	-2
Regionalmanagement	1	3
Schnauze	1	5
Verkã	1	4
Hausverwaltung	1	7
Rentenpolitik	1	3
Rentengarantie	1	7
Riesterrente	1	6
Ggelsee	1	-9
Bezirkssportbund	1	10
Kaution	1	-6
Mannsucht	1	7
Verquickung	1	-5
Fragezeichen	1	-1
Strafkammer	1	10
Hauptverfahren	1	3
Immobilienfonds	1	-7
Schieflage	1	3
Mahlzeit	1	-6
Diakonie	1	-2
Spaziergã	1	-8
Belohnung	1	-6
Sofortobduktion	1	2
Babymord	1	-8
Laserlicht	1	4
Weltruhm	1	5
Großflughafen	1	8
Regionalliga	1	-6
Aufstiegsplatz	1	-8
Aufstieg	1	3
Fachtagung	1	3
Speer	1	0
Tartanbahn	1	-3
Tigerkopf	1	-3
Rsterei	1	-8
Berschattet	1	9
Spielverbot	1	-9
Punktabzug	1	-9
Stadiondebatte	1	-1
Erbebaupachtvertrag	1	-4
Chronologie	1	-4
Betonkante	1	-2
Stadionsanierung	1	-9
Baufahrzeug	1	-3
Heimspielpremiere	1	-5
Verdrã	1	5
Ngt	1	1
Kleingartenparzelle	1	-1
Spitzenspiel	1	-3
